file	line	column	kind	message
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1625		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1629		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1748		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1748		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1748		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1788		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1789		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1789		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1812		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1883		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1884		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1885		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1942		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1943		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1944		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1945		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1945		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1945		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1947		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1948		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1948		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1949		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1950		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1958		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1960		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1960		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1967		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1980		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1980		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1986		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1996		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1997		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1998		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	1999		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2000		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2032		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2033		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2034		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2035		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2035		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2036		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2041		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2043		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2087		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2102		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2117		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2127		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2195		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2196		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2216		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2219		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2231		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2274		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2289		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2289		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2451		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2463		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProductionAuthorityFramework.java	2469		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProgressiveConstructionAuthority.java	124		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ProgressiveConstructionAuthority.java	149		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ServerRuntimePaths.java	33		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\ServerRuntimePaths.java	34		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\SelfEntombmentConstructionAuthority.java	23		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\SelfEntombmentConstructionAuthority.java	24		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\SelfEntombmentConstructionAuthority.java	73		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\SelfEntombmentConstructionAuthority.java	85		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\StaffingLaborBridgeAuthority.java	94		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\StaffingLaborBridgeAuthority.java	95		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\StaffingLaborBridgeAuthority.java	96		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\StaffingLaborBridgeAuthority.java	114		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\TheMechanist.java	34		error	constructor GamePanel in class GamePanel cannot be applied to given types;
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	15		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	15		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	16		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	16		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	25		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	26		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	27		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiHoverHelpPainter.java	28		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiModalButtonController.java	18		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiModalButtonController.java	18		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiModalButtonController.java	22		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\UiModalButtonController.java	22		error	cannot find symbol
