file	line	column	kind	message
src\mechanist\FactionServicesFramework.java	185		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	193		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	198		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	199		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	202		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	209		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	224		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	227		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	228		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	458		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	461		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	462		error	cannot find symbol
src\mechanist\FactionServicesFramework.java	463		error	cannot find symbol
