file	line	column	kind	message
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	76		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	77		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	78		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	79		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	80		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	81		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	85		error	incompatible types: String cannot be converted to ZoneType
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	89		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	92		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	95		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	98		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	101		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	104		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	107		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	111		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	112		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	113		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	114		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	115		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	125		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	126		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	127		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	128		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	129		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	130		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	131		error	cannot find symbol
C:\GITS\The Mechanist\TheMechanist\src\mechanist\PersistenceFramework.java	132		error	cannot find symbol
